,anchor,positive,negative
23428,110032,1464,2
23429,110034,1,6
23430,110036,12,2
23431,110039,173291,3
23432,110042,1,8
23433,110044,22,1
23434,110046,553,1
23435,110048,236,13
23436,110052,4,5
23437,110056,4,8
23438,110058,4,1
23439,110061,4,3
23440,110063,1,6
23441,110065,22,2
23442,110067,1,8
23443,110070,22,2
23444,110084,20,2
23445,110086,12,3
23446,110088,163,1
23447,110090,6,3
23448,110097,48,5
23449,110102,52722,5
23450,110104,6,1
23451,110106,4,1
23452,110108,1,2
23453,110110,522,2
23454,110114,12,2
23455,110116,101,8
23456,110119,610,4
23457,110123,37,1
23458,110127,188,6
23459,110130,36397,14
23460,110132,610,3
23461,110134,1,5
23462,110136,443,5
23463,110138,1,6
23464,110140,37,1
23465,110151,163,1
23466,110153,1,3
23467,110155,4,2
23468,110157,48,3
23469,110159,4,2
23470,110161,163,2
23471,110163,4,3
23472,110167,16,3
23473,110169,20,2
23474,110171,4,1
23475,110173,20,2
23476,110175,4,6
23477,110177,212,2
23478,110179,4,3
23479,110181,273,1
23480,110190,16,3
23481,110194,2865,8
23482,110196,3582,2
23483,110198,37,3
23484,110200,37,3
23485,110212,6,1
23486,110214,20,3
23487,110216,1215,5
23488,110219,4,3
23489,110221,10,4
23490,110223,1,6
23491,110225,12,3
23492,110227,4,2
23493,110229,546,16
23494,110233,4,2
23495,110235,16,2
23496,110240,83374,5
23497,110242,22,2
23498,110248,163,2
23499,110250,368,6
23500,110253,1,2
23501,110255,29,5
23502,110259,26236,13
23503,110262,4,3
23504,110265,1,2
23505,110267,4,3
23506,110269,4,2
23507,110273,41,2
23508,110276,212,6
23509,110278,20,8
23510,110281,4,2
23511,110284,4,1
23512,110286,8369,1
23513,110288,4,2
23514,110293,4,6
23515,110295,94480,4
23516,110297,107,14
23517,110310,1,6
23518,110312,1,2
23519,110314,1,9
23520,110316,1,6
23521,110318,22,1
23522,110320,382,5
23523,110322,5968,2
23524,110324,37,2
23525,110326,4,1
23526,110328,102194,1
23527,110330,4,2
23528,110337,4,2
23529,110339,22,2
23530,110342,16,3
23531,110346,20,3
23532,110348,5760,6
23533,110350,37,1
23534,110352,5433,3
23535,110354,3,6
23536,110366,37,2
23537,110368,4,2
23538,110370,4,2
23539,110372,1,6
23540,110375,37,1
23541,110377,1,8
23542,110380,5785,13
23543,110384,4,2
23544,110387,7914,1
23545,110390,341,2
23546,110399,163,1
23547,110401,4,1
23548,110403,1378,2
23549,110405,6,3
23550,110407,162594,3
23551,110409,151,2
23552,110412,37,3
23553,110415,37,2
23554,110417,12,3
23555,110419,37,1
23556,110426,6,3
23557,110428,20,3
23558,110431,377,5
23559,110433,20,1
23560,110435,20,1
23561,110437,4,1
23562,110439,4,2
23563,110441,6,3
23564,110445,837,9
23565,110447,411,6
23566,110449,22,1
23567,110451,397,4
23568,110453,38388,1
23569,110455,1,3
23570,110457,6,2
23571,110459,6,1
23572,110461,476,10
23573,110476,163,2
23574,110478,6,1
23575,110482,12,2
23576,110484,37,1
23577,110486,459,5
23578,110488,12,2
23579,110491,224,5
23580,110493,16,2
23581,110495,4,1
23582,110497,155,5
23583,110501,2540,3
23584,110503,1788,1
23585,110505,31804,4
23586,110508,66,1
23587,110510,164,2
23588,110512,1,2
23589,110515,1,6
23590,110517,12,2
23591,110519,20,1
23592,110531,6,1
23593,110533,4,5
23594,110535,1,2
23595,110537,1,2
23596,110539,4,2
23597,110541,20,13
23598,110546,37,1
23599,110548,37,2
23600,110551,20,2
23601,110553,46530,3
23602,110555,37,2
23603,110557,20,1
23604,110560,4,2
23605,110562,4,3
23606,110564,20,1
23607,110566,58404,5
23608,110568,66,2
23609,110580,610,2
23610,110582,37,3
23611,110584,37,3
23612,110586,763,6
23613,110588,37,1
23614,110591,2160,1
23615,110593,4,3
23616,110597,1,6
23617,110599,20,1
23618,110601,273,3
23619,110603,2024,1
23620,110605,163,1
23621,110607,196,3
23622,110609,4,1
23623,110611,65142,2
23624,110613,929,3
23625,110627,20,2
23626,110629,1,8
23627,110631,66,2
23628,110633,123,2
23629,110635,258,9
23630,110637,1,4
23631,110639,70802,5
23632,110641,6,2
23633,110643,6,3
23634,110645,2052,8
23635,110647,4,2
23636,110649,897,5
23637,110651,10,3
23638,110653,1464,5
23639,110655,58299,6
23640,110657,1,6
23641,110669,6850,8
23642,110671,1,8
23643,110673,22,3
23644,110675,45668,5
23645,110678,37,1
23646,110686,20,1
23647,110690,41,2
23648,110692,1,2
23649,110696,151,2
23650,110718,1353,6
23651,110730,5445,1
23652,110737,4,2
23653,110739,4,3
23654,110744,4,2
23655,110746,12,2
23656,110748,22,1
23657,110750,4142,1
23658,110752,37,2
23659,110759,4,1
23660,110761,48,2
23661,110763,1,6
23662,110765,3,8
23663,110769,198,2
23664,110771,4018,8
23665,110773,99787,8
23666,110779,4,3
23667,110781,1064,16
23668,110788,899,6
23669,110790,4,3
23670,110792,37,1
23671,110794,37,1
23672,110796,5339,8
23673,110798,198,2
23674,110800,4,1
23675,110802,4,1
23676,110805,48,1
23677,110807,1,2
23678,110809,72165,14
23679,110811,6,2
23680,110813,3,8
23681,110818,157,8
23682,110820,16,3
23683,110822,20,1
23684,110824,70,2
23685,110826,4466,2
23686,110828,4056,2
23687,110845,1,2
23688,110848,4,3
23689,110850,48,5
23690,110852,48,1
23691,110854,48,2
23692,110856,48,2
23693,110858,20,1
23694,110860,22,1
23695,110862,4,3
23696,110864,163,2
23697,110867,1262,7
23698,110871,4,1
23699,110873,5076,23
23700,110880,1245,2
23701,110882,5859,1
23702,110884,41,3
23703,110887,16,2
23704,110889,20,3
23705,110892,411,6
23706,110895,37,1
23707,110897,1,8
23708,110899,5880,2
23709,110916,22,2
23710,110919,107,2
23711,110921,317,10
23712,110923,22,2
23713,110925,3236,8
23714,110948,4,3
23715,110951,4,3
23716,110966,37,1
23717,110968,8361,5
23718,110970,4,2
23719,110973,1,2
23720,110975,198,1
23721,110982,12,1
23722,110984,66,3
23723,111031,37,1
23724,111036,66,2
23725,111038,20,2
23726,111040,239,10
23727,111042,4,2
23728,111044,239,10
23729,111046,239,6
23730,111048,4,1
23731,111050,22,3
23732,111100,27397,3
23733,111103,4,5
23734,111105,4,2
23735,111107,20,2
23736,111109,163,1
23737,111111,4,3
23738,111113,113532,2
23739,111115,4,2
23740,111119,368,5
23741,111124,6,1
23742,111126,24,1
23743,111128,4,3
23744,111130,6780,1
23745,111142,22,2
23746,111144,8961,16
23747,111146,8961,14
23748,111150,1,6
23749,111152,20,1
23750,111170,22,1
23751,111226,37,1
23752,111228,37,2
23753,111230,37,1
23754,111233,426,3
23755,111235,164147,2
23756,111237,37,1
23757,111243,6,3
23758,111245,8382,6
23759,111247,16,3
23760,111249,51471,3
23761,111251,195,2
23762,111253,37,3
23763,111255,55098,2
23764,111257,163,2
23765,111259,2391,3
23766,111261,2142,2
23767,111264,4,2
23768,111266,4,3
23769,111283,4,6
23770,111285,164,1
23771,111287,6,2
23772,111290,16,3
23773,111303,37,3
23774,111307,29,6
23775,111310,4,1
23776,111312,10,4
23777,111314,41,1
23778,111316,66,2
23779,111318,66,3
23780,111320,5213,10
23781,111322,212,2
23782,111325,24,2
23783,111329,110,3
23784,111332,4,2
23785,111343,4,3
23786,111345,16,2
23787,111347,4,1
23788,111349,4,2
23789,111351,86,3
23790,111358,459,12
23791,111360,5445,1
23792,111362,87232,3
23793,111364,3864,3
23794,111368,1179,1
23795,111370,41,1
23796,111373,12,2
23797,111375,102,6
23798,111377,5734,3
23799,111380,37,3
23800,111384,6709,2
23801,111387,430,1
23802,111389,4,3
23803,111401,4,1
23804,111403,4,1
23805,111405,1191,3
23806,111407,48,1
23807,111409,86,5
23808,111411,86,3
23809,111436,42163,8
23810,111439,48,5
23811,111441,682,1
23812,111443,91743,8
23813,111445,6,3
23814,111447,49593,5
23815,111449,4,1
23816,111451,37,1
23817,111453,4,1
23818,111456,1464,3
23819,111458,4,3
23820,111460,22,2
23821,111462,12,2
23822,111464,899,6
23823,111468,22,1
23824,111486,6,3
23825,111499,86,5
23826,111505,1,6
23827,111507,356,8
23828,111509,20,1
23829,111515,20,1
23830,111517,4,1
23831,111519,673,8
23832,111523,8519,2
23833,111525,1,6
23834,111527,44,3
23835,111529,171,2
23836,111536,16,3
23837,111538,22,2
23838,111540,29,3
23839,111542,66,2
23840,111544,37,1
23841,111546,37,2
23842,111548,37,2
23843,111551,2232,1
23844,111553,4,2
23845,111560,3,6
23846,111566,12,2
23847,111568,1,2
23848,111570,12,2
23849,111573,20,9
23850,111575,4,1
23851,111578,12,3
23852,111583,4,1
23853,111585,4,2
23854,111587,22,2
23855,111589,22,2
23856,111592,37,2
23857,111595,66,1
23858,111597,6,2
23859,111599,20,1
23860,111601,4,1
23861,111603,37,2
23862,111614,1,6
23863,111617,603,6
23864,111622,3261,6
23865,111624,4,2
23866,111626,37,2
23867,111628,610,2
23868,111630,5478,8
23869,111632,107,2
23870,111638,4,2
23871,111640,4,3
23872,111642,4,2
23873,111644,37,2
23874,111647,37,2
23875,111649,4,5
23876,111653,12,3
23877,111655,22,1
23878,111657,3,6
23879,111659,101112,3
23880,111661,183,4
23881,111663,4497,2
23882,111665,1,2
23883,111667,151,2
23884,111674,12,3
23885,111676,6,3
23886,111678,41,2
23887,111680,3,2
23888,111682,1,5
23889,111684,1,10
23890,111687,4,1
23891,111689,4,2
23892,111691,110,3
23893,111694,4,8
23894,111696,1,6
23895,111700,4,2
23896,111702,163,2
23897,111704,110,1
23898,111706,4,6
23899,111716,45758,5
23900,111718,101,9
23901,111720,37,3
23902,111722,1,5
23903,111726,1,5
23904,111732,1151,5
23905,111734,5602,9
23906,111740,4,2
23907,111743,2683,8
23908,111745,6,1
23909,111749,224,8
23910,111752,4,2
23911,111755,37,3
23912,111757,37,3
23913,111759,5046,3
23914,111762,4,5
23915,111764,1277,8
23916,111766,594,6
23917,111774,37,1
23918,111776,163,1
23919,111778,5446,6
23920,111781,2947,5
23921,111783,1,4
23922,111785,44,4
23923,111787,22,1
23924,111789,1,3
23925,111791,20,2
23926,111793,368,2
23927,111795,5267,6
23928,111797,4,8
23929,111800,141,8
23930,111804,20,2
23931,111809,37,3
23932,111811,4,3
23933,111813,37,2
23934,111815,6,2
23935,111817,4,3
23936,111838,4,2
23937,111840,1,8
23938,111842,22,1
23939,111844,20,2
23940,111846,4,3
23941,111848,151,5
23942,111850,22,2
23943,111852,37,3
23944,111854,4,3
23945,111856,3113,1
23946,111861,36509,3
23947,111868,107,2
23948,111872,3,6
23949,111874,4,6
23950,111876,20,3
23951,111878,37,3
23952,111880,37,3
23953,111882,4,3
23954,111885,4,5
23955,111887,37,2
23956,111899,1,2
23957,111901,224,6
23958,111913,72039,3
23959,111915,266,2
23960,111917,4,2
23961,111919,164,2
23962,111921,1735,1
23963,111924,2883,8
23964,111929,12,3
23965,111931,70,1
23966,111944,48,1
23967,111946,20,1
23968,111961,595,6
23969,111990,6,2
23970,111993,1,4
23971,111995,4,2
23972,111997,20,1
23973,111999,4,6
23974,112001,16,2
23975,112003,22,2
23976,112006,2092,11
23977,112013,4,6
23978,112015,380,16
23979,112017,4,2
23980,112019,459,12
23981,112021,3,2
23982,112023,1,2
23983,112056,4,2
23984,112060,4,3
23985,112062,4,2
23986,112064,1,2
23987,112066,26743,6
23988,112070,2289,2
23989,112072,4,3
23990,112074,20,2
23991,112076,356,6
23992,112078,163,3
23993,112081,24,1
23994,112083,37,2
23995,112085,4,2
23996,112087,680,2
23997,112089,20,8
23998,112091,1625,1
23999,112093,4,2
24000,112095,4,1
24001,112108,22,3
24002,112110,20,1
24003,112112,1,8
24004,112116,4,3
24005,112118,1,8
24006,112138,4084,8
24007,112163,1,2
24008,112165,213,1
24009,112171,4934,1
24010,112173,4,2
24011,112175,152081,7
24012,112177,22,3
24013,112179,4,2
24014,112181,1,6
24015,112183,1784,2
24016,112185,4,3
24017,112187,20,1
24018,112193,4,6
24019,112204,163,1
24020,112206,20,3
24021,112210,22,3
24022,112212,12,2
24023,112214,459,18
24024,112221,4,6
24025,112224,4,2
24026,112226,4,2
24027,112229,22,3
24028,112232,1118,4
24029,112234,163,3
24030,112236,1191,2
24031,112240,4,1
24032,112242,4,1
24033,112245,4,3
24034,112247,24,3
24035,112249,1,9
24036,112251,22,2
24037,112253,929,3
24038,112255,398,4
24039,112257,4,2
24040,112259,1,8
24041,112261,377,1
24042,112271,37,3
24043,112273,4,1
24044,112275,37,1
24045,112277,22,2
24046,112279,37,2
24047,112281,4,3
24048,112283,70,2
24049,112288,4,1
24050,112290,476,2
24051,112293,16,1
24052,112297,1,2
24053,112299,110,3
24054,112301,1,2
24055,112303,3,6
24056,112307,899,8
24057,112309,1,6
24058,112316,4588,2
24059,112320,22,3
24060,112326,66,3
24061,112328,112,17
24062,112330,4,3
24063,112332,20,9
24064,112334,6679,1
24065,112338,37,1
24066,112340,224,8
24067,112342,37,3
24068,112351,752,5
24069,112353,101,9
24070,112355,317,6
24071,112359,929,1
24072,112361,368,5
24073,112365,22,1
24074,112367,37,1
24075,112370,87520,3
24076,112381,4,1
24077,112383,20,1
24078,112385,12,2
24079,112389,256,6
24080,112391,4,2
24081,112393,1,6
24082,112395,163,1
24083,112397,163,1
24084,112399,162,1
24085,112404,6,3
24086,112406,37,2
24087,112408,12,1
24088,112412,22,1
24089,112416,4,1
24090,112419,4,1
24091,112421,3129,8
24092,112423,4,3
24093,112425,4,6
24094,112432,5868,1
24095,112434,4,1
24096,112436,2714,2
24097,112439,4,2
24098,112442,22,1
24099,112444,12,1
24100,112446,20,3
24101,112448,37,3
24102,112450,149186,2
24103,112452,37,3
24104,112454,4,1
24105,112458,4,1
24106,112460,104245,6
24107,112463,6,1
24108,112465,6,3
24109,112467,4,1
24110,112469,1191,1
24111,112471,4,2
24112,112473,4,1
24113,112477,6,2
24114,112479,1,6
24115,112481,1,2
24116,112483,20,2
24117,112485,1,6
24118,112488,1378,8
24119,112493,1,8
24120,112495,37,3
24121,112497,333,8
24122,112501,914,2
24123,112506,24,1
24124,112508,4,2
24125,112510,4,1
24126,112512,29,5
24127,112515,1327,1
24128,112517,1,9
24129,112519,1189,2
24130,112538,12,1
24131,112540,107,8
24132,112542,4,2
24133,112544,110,2
24134,112546,4,1
24135,112548,1,8
24136,112550,90,2
24137,112552,62,3
24138,112554,4,1
24139,112556,53129,3
24140,112563,1,6
24141,112565,1,8
24142,112570,4,3
24143,112572,4,3
24144,112577,4,6
24145,112580,6954,8
24146,112582,1780,1
24147,112586,4,1
24148,112589,443,5
24149,112591,37,2
24150,112594,5613,9
24151,112596,4,3
24152,112599,6,2
24153,112601,22,2
24154,112603,107,8
24155,112606,4,3
24156,112610,4,1
24157,112612,6,2
24158,112614,12,3
24159,112617,20,3
24160,112619,610,4
24161,112621,4,3
24162,112623,6502,2
24163,112625,4,2
24164,112635,4,1
24165,112637,66,2
24166,112640,89983,3
24167,112642,6,2
24168,112644,4,1
24169,112648,4,1
24170,112650,4,1
24171,112653,37,2
24172,112655,22,2
24173,112657,37,2
24174,112663,163,2
24175,112665,1,2
24176,112667,6,1
24177,112670,163,1
24178,112672,163,2
24179,112674,37,2
24180,112689,22,1
24181,112693,4,1
24182,112695,368,14
24183,112697,151,2
24184,112700,1,2
24185,112702,3,8
24186,112705,24,2
24187,112710,4,3
24188,112713,4,3
24189,112719,20,13
24190,112723,163,1
24191,112725,163,3
24192,112727,6703,2
24193,112729,4,6
24194,112731,20,1
24195,112733,37,2
24196,112735,4,1
24197,112741,3,8
24198,112743,4,2
24199,112749,4,6
24200,112751,12,2
24201,112753,22,1
24202,112759,4,1
24203,112762,1,8
24204,112764,37,2
24205,112767,39,2
24206,112770,37,2
24207,112772,196,2
24208,112774,22,1
24209,112776,12,1
24210,112778,12,1
24211,112780,6,2
24212,112782,22,2
24213,112784,1,3
24214,112788,35836,6
24215,112790,4,8
24216,112792,24,1
24217,112798,1,6
24218,112800,163,1
24219,112802,6,2
24220,112804,1253,2
24221,112807,26701,5
24222,112809,26701,5
24223,112811,41,2
24224,112814,37,1
24225,112816,4,8
24226,112818,7022,1
24227,112838,163,1
24228,112840,81,5
24229,112842,107,2
24230,112844,1,8
24231,112846,112,16
24232,112850,4,6
24233,112852,122918,4
24234,112854,162700,8
24235,112856,46559,2
24236,112864,20,3
24237,112866,22,3
24238,112868,1253,2
24239,112871,48,2
24240,112877,151,1
24241,112880,3,6
24242,112882,70,2
24243,112888,4,1
24244,112890,4,3
24245,112893,3,8
24246,112895,2232,4
24247,112897,2404,4
24248,112901,1,2
24249,112903,20,1
24250,112905,4,2
24251,112907,377,2
24252,112909,151,1
24253,112911,6294,3
24254,112913,588,2
24255,112921,37,2
24256,112923,37,2
24257,112925,4,2
24258,112929,4,2
24259,112931,4,2
24260,112938,22,1
24261,112940,6059,1
24262,112942,8901,3
24263,112944,4,2
24264,112946,71926,2
24265,112948,41,1
24266,112950,4,1
24267,112953,24,1
24268,112955,1,6
24269,112957,20,9
24270,112959,16,2
24271,112961,4,3
24272,112974,4,2
24273,112976,1,2
24274,112978,41,1
24275,112980,4,2
24276,112982,4,8
24277,112984,20,1
24278,112988,3,2
24279,112990,3,5
24280,112992,12,2
24281,112995,4,3
24282,112999,20,1
24283,113001,1,8
24284,113008,914,6
24285,113010,16,1
24286,113012,48,2
24287,113014,3834,6
24288,113016,1,6
24289,113018,163,3
24290,113020,1,6
24291,113022,196,1
24292,113024,16,2
24293,113029,20,1
24294,113033,1,3
24295,113035,4,8
24296,113037,3,6
24297,113039,4,1
24298,113041,20,8
24299,113043,212,6
24300,113045,2048,4
24301,113048,1,2
24302,113058,48,2
24303,113060,169,3
24304,113062,20,3
24305,113064,1133,2
24306,113066,1,9
24307,113068,151,2
24308,113071,130520,5
24309,113073,20,2
24310,113080,10,3
24311,113083,41,2
24312,113085,6,2
24313,113089,1922,3
24314,113092,37,1
24315,113099,16,2
24316,113101,4,2
24317,113103,58107,1
24318,113105,22,2
24319,113107,256,2
24320,113109,153012,1
24321,113112,44731,1
24322,113122,37,2
24323,113126,37,2
24324,113128,37,2
24325,113130,24,2
24326,113132,4,3
24327,113139,1,6
24328,113141,4,5
24329,113143,160,5
24330,113145,4,2
24331,113149,3,8
24332,113152,3,2
24333,113159,40226,8
24334,113162,4,2
24335,113168,163,1
24336,113170,26093,6
24337,113174,3,6
24338,113176,20,8
24339,113186,6,3
24340,113188,79720,2
24341,113190,37,1
24342,113195,81,5
24343,113198,368,2
24344,113203,10,5
24345,113205,4,8
24346,113207,8535,1
24347,113209,37,1
24348,113214,37,2
24349,113216,6,1
24350,113218,256,2
24351,113220,37,1
24352,113223,4,3
24353,113225,539,6
24354,113227,4,8
24355,113230,4,2
24356,113232,1,2
24357,113234,22,1
24358,113236,12,1
24359,113238,4,2
24360,113240,1305,1
24361,113244,37,1
24362,113246,1,6
24363,113250,2542,8
24364,113252,27584,2
24365,113254,1,2
24366,113256,3,2
24367,113261,188,3
24368,113263,3,6
24369,113275,91743,6
24370,113278,6966,4
24371,113280,4,1
24372,113282,93859,3
24373,113284,41,3
24374,113286,1179,1
24375,113288,163,2
24376,113290,10,5
24377,113300,4,6
24378,113302,2617,5
24379,113304,37,2
24380,113306,6,3
24381,113309,22,1
24382,113311,20,2
24383,113313,22,2
24384,113315,5485,6
24385,113319,459,18
24386,113323,22,1
24387,113325,22,1
24388,113327,22,2
24389,113337,4,6
24390,113343,20,3
24391,113345,260,5
24392,113348,122904,17
24393,113350,29,3
24394,113352,81,2
24395,113354,37,2
24396,113358,20,13
24397,113364,6797,2
24398,113368,4,1
24399,113370,4,2
24400,113374,1,8
24401,113376,22,1
24402,113378,273,3
24403,113380,123,2
24404,113394,156,6
24405,113416,20,1
24406,113420,37,1
24407,113424,22,1
24408,113428,2164,13
24409,113430,37,3
24410,113432,37,3
24411,113434,1,2
24412,113449,1179,3
24413,113451,157,2
24414,113453,7048,2
24415,113457,1,2
24416,113459,4,2
24417,113464,37,3
24418,113466,37,3
24419,113468,151,2
24420,113470,37,3
24421,113472,62,1
24422,113474,4,1
24423,113476,12,2
24424,113478,4,3
24425,113490,10,3
24426,113492,3,8
24427,113495,1179,2
24428,113497,1,9
24429,113499,1,14
24430,113501,27728,3
24431,113503,4,2
24432,113505,1,14
24433,113507,4,2
24434,113510,6,2
24435,113513,37,2
24436,113515,163,2
24437,113521,1,8
24438,113524,3,8
24439,113527,163,2
24440,113529,10,5
24441,113532,3865,6
24442,113534,22,2
24443,113536,6,3
24444,113539,4,3
24445,113541,41,3
24446,113543,4,3
24447,113549,546,3
24448,113551,4,1
24449,113553,16,3
24450,113555,1,6
24451,113557,66,3
24452,113559,4,3
24453,113561,4,8
24454,113563,163,2
24455,113565,75351,2
24456,113567,48,3
24457,113573,2986,2
24458,113575,4,6
24459,113577,41,1
24460,113580,1,8
24461,113582,1,8
24462,113585,929,1
24463,113604,35,1
24464,113606,37,2
24465,113608,41,3
24466,113612,155,3
24467,113614,4,1
24468,113618,4,2
24469,113630,4,2
24470,113632,3582,6
24471,113634,37,3
24472,113636,37,1
24473,113638,4,3
24474,113640,1327,1
24475,113642,6281,2
24476,113644,16,2
24477,113646,4,8
24478,113648,4,1
24479,113659,20,1
24480,113661,20,2
24481,113663,26236,5
24482,113668,163,1
24483,113670,37,3
24484,113674,22,2
24485,113678,4,1
24486,113682,1,8
24487,113686,4,1
24488,113692,20,2
24489,113696,1133,6
24490,113698,929,1
24491,113701,4,2
24492,113703,4,2
24493,113705,1156,2
24494,113707,1,2
24495,113709,24,2
24496,113711,4,2
24497,113715,4097,3
24498,113717,12,8
24499,113719,12,2
24500,113721,37,2
24501,113723,4,2
24502,113725,4,1
24503,113739,37,3
24504,113741,680,2
24505,113743,3,8
24506,113746,4,2
24507,113749,212,2
24508,113751,1,6
24509,113755,4,1
24510,113757,22,3
24511,113760,4,2
24512,113765,4,1
24513,113767,4,1
24514,113769,3340,3
24515,113771,12,2
24516,113773,37,1
24517,113775,1351,2
24518,113778,6,2
24519,113780,1327,1
24520,113783,4,2
24521,113790,37,1
24522,113793,37,3
24523,113795,20,1
24524,113798,212,8
24525,113800,1407,2
24526,113803,22,1
24527,113806,1,2
24528,113808,41,3
24529,113810,4,2
24530,113812,16,1
24531,113814,590,3
24532,113816,1191,2
24533,113829,51903,8
24534,113831,4,8
24535,113834,37,2
24536,113836,4,2
24537,113838,1,6
24538,113840,4,8
24539,113843,37,3
24540,113845,37,2
24541,113847,37,3
24542,113849,20,1
24543,113851,20,2
24544,113853,426,1
24545,113855,37,3
24546,113857,37,1
24547,113860,37,1
24548,113862,474,1
24549,113864,37,3
24550,113866,12,3
24551,113868,37,3
24552,113872,4,1
24553,113889,546,9
24554,113891,4,8
24555,113895,4,2
24556,113898,163,2
24557,113902,1,2
24558,113904,4,6
24559,113906,22,1
24560,113908,37,1
24561,113911,37,2
24562,113924,3803,8
24563,113933,22,2
24564,113938,37,3
24565,113943,16,3
24566,113945,1179,1
24567,113947,4,2
24568,113949,496,8
24569,113951,151,5
24570,113953,4,3
24571,113955,3,2
24572,113968,66,1
24573,113970,37,2
24574,113972,37,1
24575,113974,4,2
24576,113976,37,3
24577,113981,368,4
24578,113983,4,1
24579,113989,4,5
24580,113991,1,5
24581,113995,4,3
24582,113997,1,3
24583,113999,37,1
24584,114001,1,8
24585,114003,37,1
24586,114007,34045,2
24587,114009,411,6
24588,114011,37,2
24589,114013,29,1
24590,114015,41,3
24591,114017,4,2
24592,114028,171,6
24593,114033,1438,2
24594,114035,6,2
24595,114040,6,1
24596,114042,5902,5
24597,114044,5136,2
24598,114046,4,2
24599,114048,4,2
24600,114060,26704,1
24601,114062,22,1
24602,114064,12,3
24603,114066,89386,3
24604,114068,37,2
24605,114070,37,3
24606,114072,1,6
24607,114074,4724,2
24608,114078,1,4
24609,114080,72731,3
24610,114082,57543,2
24611,114085,12,3
24612,114087,6428,2
24613,114089,163,1
24614,114091,1,6
24615,114093,196,3
24616,114095,4,1
24617,114119,4,8
24618,114122,1,8
24619,114124,4,3
24620,114126,37,2
24621,114128,20,2
24622,114130,680,1
24623,114134,459,6
24624,114136,163,1
24625,114138,1,2
24626,114140,163,5
24627,114142,6,2
24628,114146,911,2
24629,114161,31549,2
24630,114164,4,2
24631,114166,198,2
24632,114170,37,3
24633,114172,4,1
24634,114174,4,6
24635,114177,198,2
24636,114180,160,2
24637,114182,103,3
24638,114184,2771,1
24639,114186,37,2
24640,114188,20,1
24641,114191,37,2
24642,114193,37,3
24643,114195,37,3
24644,114197,37,2
24645,114199,4,3
24646,114214,24,2
24647,114217,16,1
24648,114219,12,1
24649,114232,29,6
24650,114234,1,6
24651,114236,37,1
24652,114238,4,2
24653,114240,1,9
24654,114242,1388,2
24655,114244,1542,1
24656,114246,1620,1
24657,114248,118768,1
24658,114250,909,6
24659,114252,1118,3
24660,114254,37,2
24661,114256,22,1
24662,114261,4,1
24663,114263,1,6
24664,114265,39,6
24665,114267,20,3
24666,114269,1191,1
24667,114271,1191,1
24668,114273,161,3
24669,114277,53123,5
24670,114280,37,1
24671,114282,37,2
24672,114286,163,2
24673,114288,163,1
24674,114292,1245,2
24675,114327,4,1
24676,114329,87,9
24677,114331,37,1
24678,114333,4,2
24679,114335,1,3
24680,114337,22,1
24681,114340,4,1
24682,114342,621,1
24683,114353,1,6
24684,114355,20,1
24685,114357,20,2
24686,114359,4,2
24687,114361,4,2
24688,114363,1,8
24689,114365,1,8
24690,114367,41,2
24691,114369,151,5
24692,114371,16,3
24693,114373,22,1
24694,114376,16,1
24695,114378,4,2
24696,114380,16,1
24697,114382,6446,12
24698,114392,3093,3
24699,114394,4,5
24700,114396,4,1
24701,114398,4,1
24702,114400,20,3
24703,114417,4,1
24704,114420,8253,3
24705,114422,1,8
24706,114426,20,8
24707,114429,4,2
24708,114431,1,4
24709,114433,1,2
24710,114436,22,3
24711,114439,4901,3
24712,114453,236,8
24713,114455,1,8
24714,114457,1,6
24715,114459,4061,5
24716,114461,1,5
24717,114464,20,3
24718,114466,6,3
24719,114486,3039,6
24720,114489,6,3
24721,114492,1,2
24722,114494,170,3
24723,114497,22,2
24724,114503,37,2
24725,114505,1,2
24726,114510,4,3
24727,114514,4,2
24728,114535,107,6
24729,114550,22,1
24730,114552,162578,14
24731,114554,3000,6
24732,114556,20,8
24733,114561,6,2
24734,114563,37,2
24735,114565,37,2
24736,114567,3,6
24737,114569,1245,2
24738,114571,1,8
24739,114573,1,6
24740,114577,368,3
24741,114583,1,3
24742,114585,1,3
24743,114587,1,8
24744,114591,688,4
24745,114593,382,5
24746,114595,4,5
24747,114599,4,5
24748,114601,6324,6
24749,114604,37,3
24750,114617,2930,3
24751,114620,4,1
24752,114622,1,8
24753,114624,368,8
24754,114627,58709,3
24755,114629,37,3
24756,114631,37,1
24757,114633,37,2
24758,114635,44943,3
24759,114638,4,3
24760,114640,196,3
24761,114642,163,1
24762,114652,37,1
24763,114659,426,2
24764,114662,56511,2
24765,114667,41,3
24766,114670,4633,6
24767,114673,368,8
24768,114676,4,2
24769,114678,361,23
24770,114680,2164,2
24771,114683,4,3
24772,114685,4,8
24773,114687,41,2
24774,114692,682,2
24775,114694,1,6
24776,114696,107,8
24777,114698,12,2
24778,114700,90528,2
24779,114702,4,1
24780,114704,7988,2
24781,114707,2898,2
24782,114713,5679,2
24783,114715,37,1
24784,114717,1,4
24785,114719,161,1
24786,114721,1,6
24787,114723,29,5
24788,114725,37,3
24789,114752,12,1
24790,114754,12,3
24791,114756,22,2
24792,114758,1799,1
24793,114760,7199,2
24794,114762,127140,6
24795,114764,161,2
24796,114766,4902,1
24797,114773,4,2
24798,114775,20,2
24799,114777,20,1
24800,114779,914,6
24801,114781,459,5
24802,114791,1220,2
